network-snapshot-000000        time 10m 45s      fid50k 341.0396
network-snapshot-000060        time 10m 57s      fid50k 379.3458
network-snapshot-000120        time 11m 03s      fid50k 260.5312
network-snapshot-000180        time 11m 02s      fid50k 237.8181
network-snapshot-000240        time 10m 52s      fid50k 148.3532
network-snapshot-000300        time 10m 58s      fid50k 94.4436
network-snapshot-000361        time 10m 50s      fid50k 78.9076
network-snapshot-000421        time 10m 47s      fid50k 55.5145
network-snapshot-000481        time 10m 30s      fid50k 50.2160
network-snapshot-000541        time 10m 28s      fid50k 42.5424
network-snapshot-000601        time 10m 38s      fid50k 38.9842
network-snapshot-000661        time 10m 44s      fid50k 34.4615
network-snapshot-000722        time 10m 38s      fid50k 31.8455
network-snapshot-000782        time 10m 37s      fid50k 31.3282
network-snapshot-000842        time 10m 31s      fid50k 27.8535
network-snapshot-000902        time 10m 34s      fid50k 25.9353
network-snapshot-000962        time 10m 40s      fid50k 24.6030
network-snapshot-001022        time 10m 42s      fid50k 22.7926
network-snapshot-001083        time 10m 39s      fid50k 21.6953
network-snapshot-001143        time 10m 50s      fid50k 21.6291
network-snapshot-001203        time 10m 40s      fid50k 19.9648
network-snapshot-001263        time 10m 35s      fid50k 19.5936
network-snapshot-001323        time 10m 40s      fid50k 18.8576
network-snapshot-001383        time 10m 36s      fid50k 18.0719
network-snapshot-001443        time 10m 39s      fid50k 17.5711
network-snapshot-001504        time 10m 41s      fid50k 16.9108
network-snapshot-001564        time 10m 38s      fid50k 17.1903
network-snapshot-001624        time 10m 52s      fid50k 17.4766
network-snapshot-001684        time 10m 44s      fid50k 16.6176
network-snapshot-001744        time 10m 44s      fid50k 16.8351
network-snapshot-001804        time 10m 41s      fid50k 16.3502
network-snapshot-001865        time 14m 46s      fid50k 17.4458
network-snapshot-001925        time 10m 43s      fid50k 16.7751
network-snapshot-001985        time 10m 48s      fid50k 17.2717
network-snapshot-002045        time 10m 47s      fid50k 16.8100
network-snapshot-002105        time 10m 49s      fid50k 17.0822
network-snapshot-002165        time 19m 56s      fid50k 17.2052
network-snapshot-002226        time 10m 40s      fid50k 16.7624
network-snapshot-002286        time 10m 50s      fid50k 17.8350
